Date,RO1_Feed_pH,RO1_Feed_EC_µscms,RO1_Feed_TDS_mgl,RO1_Feed_TSS_mgl,RO1_Feed_Turbidity_NTU,RO1_Feed_COD_mgl,RO1_Feed_NH3N_mgl,RO1_Feed_Zinc_mgl,RO1_Feed_Total_Hardness,RO1_Feed_Ca_Hardness,RO1_Feed_Total_Alkalinity,RO1_Feed_PO4_mgl,RO1_Feed_TFe_mgl,RO1_Feed_SDI,RO1_P_PH,RO1_P_COND_µscms,RO1_P_TDS_mgl,RO1_P_COD_mgl,RO1_P_Total_Hardnes,RO1_P_Ca_Hardness,RO1_P_NH3N_mgl,RO1_R_PH,RO1_R_COND_µscms,RO1_R_TSS,RO1_R_TDS_mgl,RO1_R_Total_Hardnes,RO1_R_Ca_Hardness,RO1_R_Total_Alkalinity,RO1_R_COD_mgl,RO_1_FEED_PRESSURE,RO_1_Rej_PRESSURE,RO1_Feed_FLOW_m3hr,RO1_Permeate_FLOW_KL,RO1_REJECT_FLOW_KL,Recovery_%,Salt_Passage_%,Salt_Rejection_%,DeltaP_bar,TCF,Norm_Permeate_Flow,NSP_%,Diagnosis,hour,day,weekday,month,sin_yr,cos_yr,TDS_roll_3,Permeate_roll_3,TDS_roll_6,Permeate_roll_6,TDS_lag_1,Permeate_lag_1,Recovery_lag_1,TDS_lag_3,Permeate_lag_3,Recovery_lag_3,TDS_x_Hardness,Recovery_next,Recovery_pred_cv,residual
15-12-2023,7.9,10810,7090,104.5,0.3,798,103.6,,2000,1300,,,,4.414598275,7.36,330,150,8,,,6.16,7.2,8140,425,6290,,,,760,23,21.5,5.2,2.7,2.2,51.92307692,2.115655853,97.88434415,1.5,1,2.7,2.115655853,Normal,0,15,4,12,-0.275912945,0.961182629,7090,2.7,7090,2.7,,,,,,,14180000,51.92307692,,
16-12-2023,7.8,10810,7090,104.5,0.98,798,103.6,,2000,1300,,,,4.421663096,7.195,297,150,8,,,6.16,7.5,8510,425,10750,,,,1400,23,21.5,5.2,2.7,2.2,51.92307692,2.115655853,97.88434415,1.5,1,2.7,2.115655853,Normal,0,16,5,12,-0.259338266,0.965786552,7090,2.7,7090,2.7,7090,2.7,51.92307692,,,,14180000,51.92307692,,
17-12-2023,7.7,10810,7090,104.5,0.7,798,103.6,,2000,1300,,,,4.428727917,7.195,297,150,8,,,6.16,6.855,15125,425,10750,,,,1400,23,21.5,5.2,2.7,2.2,51.92307692,2.115655853,97.88434415,1.5,1,2.7,2.115655853,Normal,0,17,6,12,-0.242686845,0.970104683,7090,2.7,7090,2.7,7090,2.7,51.92307692,,,,14180000,51.92307692,,
18-12-2023,7.65,10810,7090,104.5,0.5,450,103.6,,2000,1300,,,,4.432260327,7.195,297,150,8,,,6.16,6.855,15125,425,10750,,,,1400,23,21.5,5.2,2.7,2.2,51.92307692,2.115655853,97.88434415,1.5,1,2.7,2.115655853,Normal,0,18,0,12,-0.225963608,0.974135744,7090,2.7,7090,2.7,7090,2.7,51.92307692,7090,2.7,51.92307692,14180000,51.92307692,,
19-12-2023,7.8,10810,7090,104.5,0.8,798,103.6,,2000,1300,,,,3.75,7.195,297,150,8,,,8.68,6.855,15125,10,10750,,,,1400,23,21.5,5.2,2.7,2.2,51.92307692,2.115655853,97.88434415,1.5,1,2.7,2.115655853,Normal,0,19,1,12,-0.209173506,0.977878543,7090,2.7,7090,2.7,7090,2.7,51.92307692,7090,2.7,51.92307692,14180000,51.92307692,,
20-12-2023,7.5,10810,3710,104.5,0.5,656,50.4,0.411,760,590,,46.13,,4.47399674,7.195,297,150,8,,,6.16,6.855,15125,20,10750,,,,1400,23,21.5,5.2,2.7,2.2,51.92307692,4.043126685,95.95687332,1.5,1,2.7,4.043126685,Normal,0,20,2,12,-0.192321505,0.981331972,5963.333333,2.7,6526.666667,2.7,7090,2.7,51.92307692,7090,2.7,51.92307692,2819600,51.92307692,,
21-12-2023,7.51,10810,3250,104.5,0.4,640,75.6,0.236,660,440,,27.84,,4.477528135,7.195,297,150,8,,,6.16,6.855,15125,10,10750,,,,1400,23,21.5,5.2,2.7,2.2,51.92307692,4.615384615,95.38461538,1.5,1,2.7,4.615384615,Normal,0,21,3,12,-0.175412594,0.984495009,4683.333333,2.7,5886.666667,2.7,3710,2.7,51.92307692,7090,2.7,51.92307692,2145000,51.92307692,,
22-12-2023,7.74,10810,3370,104.5,0.8,592,56,0.3411,450,260,,36.41,,4.460173514,7.3,213,100,24,,,9.52,7.34,9360,20,7300,,,,1080,23,21.5,5.2,2.7,2.2,51.92307692,2.96735905,97.03264095,1.5,1,2.7,2.96735905,Normal,0,22,4,12,-0.158451775,0.987366718,3443.333333,2.7,5266.666667,2.7,3250,2.7,51.92307692,7090,2.7,51.92307692,1516500,51.92307692,,
23-12-2023,7.76,10810,3280,104.5,0.9,448,78.4,0.3861,520,390,,40.84,,4.4595897,7.76,270,140,8,,,6.16,7.51,7970,20,10750,,,,560,23,21.5,5.2,2.7,2.2,51.92307692,4.268292683,95.73170732,1.5,1,2.7,4.268292683,Normal,0,23,5,12,-0.141444068,0.989946249,3300,2.7,4631.666667,2.7,3370,2.7,51.92307692,3710,2.7,51.92307692,1705600,51.92307692,,
24-12-2023,7.735,10810,7090,104.5,0.98,798,103.6,,2000,1300,,,,4.42625523,7.195,297,150,8,,,6.16,6.855,15125,10,10750,,,,1400,23,21.5,5.2,2.7,2.2,51.92307692,2.115655853,97.88434415,1.5,1,2.7,2.115655853,Normal,0,24,6,12,-0.124394505,0.992232839,4580,2.7,4631.666667,2.7,3280,2.7,51.92307692,3250,2.7,51.92307692,14180000,51.92307692,,
25-12-2023,7.71,10810,4056,104.5,0.5,624,84,0.363,680,440,,36.11,,4.455972996,7.5,250,172,4,,,10.08,7.5,6140,5,4700,,,,800,23,21.5,5.2,2.7,2.2,51.92307692,4.240631164,95.75936884,1.5,1,2.7,4.240631164,Normal,0,25,0,12,-0.107308132,0.994225812,4808.666667,2.7,4126,2.7,7090,2.7,51.92307692,3370,2.7,51.92307692,2758080,51.92307692,,
