Date,RO1_Feed_pH,RO1_Feed_EC_µscms,RO1_Feed_TDS_mgl,RO1_Feed_TSS_mgl,RO1_Feed_Turbidity_NTU,RO1_Feed_COD_mgl,RO1_Feed_NH3N_mgl,RO1_Feed_Zinc_mgl,RO1_Feed_Total_Hardness,RO1_Feed_Ca_Hardness,RO1_Feed_Total_Alkalinity,RO1_Feed_PO4_mgl,RO1_Feed_TFe_mgl,RO1_Feed_SDI,RO1_P_PH,RO1_P_COND_µscms,RO1_P_TDS_mgl,RO1_P_COD_mgl,RO1_P_Total_Hardnes,RO1_P_Ca_Hardness,RO1_P_NH3N_mgl,RO1_R_PH,RO1_R_COND_µscms,RO1_R_TSS,RO1_R_TDS_mgl,RO1_R_Total_Hardnes,RO1_R_Ca_Hardness,RO1_R_Total_Alkalinity,RO1_R_COD_mgl,RO_1_FEED_PRESSURE,RO_1_Rej_PRESSURE,RO1_Feed_FLOW_m3hr,RO1_Permeate_FLOW_KL,RO1_REJECT_FLOW_KL,Recovery_%,Salt_Passage_%,Salt_Rejection_%,DeltaP_bar,TCF,Norm_Permeate_Flow,NSP_%,Diagnosis,hour,day,weekday,month,sin_yr,cos_yr,TDS_roll_3,Permeate_roll_3,TDS_roll_6,Permeate_roll_6,TDS_lag_1,Permeate_lag_1,Recovery_lag_1,TDS_lag_3,Permeate_lag_3,Recovery_lag_3,TDS_x_Hardness,Recovery_next,Recovery_pred_cv,residual,anomaly_flag_thr,anomaly_flag_iso,anomaly_score_iso,high_priority_combined,priority
2023-12-15,7.9,10810,7090.0,104.5,0.3,798.0,103.6,,2000,1300,,,,4.414598275334118,7.36,330.0,150.0,8,,,6.16,7.2,8140,425.0,6290,,,,760,23.0,21.5,5.2,2.7,2.2,51.92307692307693,2.115655853314527,97.88434414668548,1.5,1,2.7,2.115655853314527,Normal,0,15,4,12,-0.2759129450029604,0.9611826292540836,7090.0,2.7,7090.0,2.7,,,,,,,14180000.0,51.92307692307693,,,0,0,0.3447628956338592,0,low
2023-12-16,7.8,10810,7090.0,104.5,0.98,798.0,103.6,,2000,1300,,,,4.421663096054262,7.195,297.0,150.0,8,,,6.16,7.5,8510,425.0,10750,,,,1400,23.0,21.5,5.2,2.7,2.2,51.92307692307693,2.115655853314527,97.88434414668548,1.5,1,2.7,2.115655853314527,Normal,0,16,5,12,-0.2593382659754047,0.9657865518844576,7090.0,2.7,7090.0,2.7,7090.0,2.7,51.92307692307693,,,,14180000.0,51.92307692307693,,,0,0,0.3447628956338592,0,low
2023-12-17,7.7,10810,7090.0,104.5,0.7,798.0,103.6,,2000,1300,,,,4.428727916774407,7.195,297.0,150.0,8,,,6.16,6.855,15125,425.0,10750,,,,1400,23.0,21.5,5.2,2.7,2.2,51.92307692307693,2.115655853314527,97.88434414668548,1.5,1,2.7,2.115655853314527,Normal,0,17,6,12,-0.2426868445825954,0.9701046827361176,7090.0,2.7,7090.0,2.7,7090.0,2.7,51.92307692307693,,,,14180000.0,51.92307692307693,,,0,0,0.3447628956338592,0,low
2023-12-18,7.65,10810,7090.0,104.5,0.5,450.0,103.6,,2000,1300,,,,4.432260327134479,7.195,297.0,150.0,8,,,6.16,6.855,15125,425.0,10750,,,,1400,23.0,21.5,5.2,2.7,2.2,51.92307692307693,2.115655853314527,97.88434414668548,1.5,1,2.7,2.115655853314527,Normal,0,18,0,12,-0.2259636082480191,0.974135744004672,7090.0,2.7,7090.0,2.7,7090.0,2.7,51.92307692307693,7090.0,2.7,51.92307692307693,14180000.0,51.92307692307693,,,0,0,0.3447628956338592,0,low
2023-12-19,7.8,10810,7090.0,104.5,0.8,798.0,103.6,,2000,1300,,,,3.75,7.195,297.0,150.0,8,,,8.68,6.855,15125,10.0,10750,,,,1400,23.0,21.5,5.2,2.7,2.2,51.92307692307693,2.115655853314527,97.88434414668548,1.5,1,2.7,2.115655853314527,Normal,0,19,1,12,-0.2091735056463564,0.9778785428342386,7090.0,2.7,7090.0,2.7,7090.0,2.7,51.92307692307693,7090.0,2.7,51.92307692307693,14180000.0,51.92307692307693,,,0,0,0.3447628956338592,0,low
2023-12-20,7.5,10810,3710.0,104.5,0.5,656.0,50.4,0.411,760,590,,46.13,,4.473996740237961,7.195,297.0,150.0,8,,,6.16,6.855,15125,20.0,10750,,,,1400,23.0,21.5,5.2,2.7,2.2,51.92307692307693,4.043126684636118,95.95687331536388,1.5,1,2.7,4.043126684636118,Normal,0,20,2,12,-0.1923215052390948,0.9813319716704276,5963.333333333333,2.7,6526.666666666667,2.7,7090.0,2.7,51.92307692307693,7090.0,2.7,51.92307692307693,2819600.0,51.92307692307693,,,0,0,0.3447628956338592,0,low
2023-12-21,7.51,10810,3250.0,104.5,0.4,640.0,75.6,0.236,660,440,,27.84,,4.47752813500935,7.195,297.0,150.0,8,,,6.16,6.855,15125,10.0,10750,,,,1400,23.0,21.5,5.2,2.7,2.2,51.92307692307693,4.615384615384616,95.3846153846154,1.5,1,2.7,4.615384615384616,Normal,0,21,3,12,-0.1754125938042784,0.9844950085880858,4683.333333333333,2.7,5886.666666666667,2.7,3710.0,2.7,51.92307692307693,7090.0,2.7,51.92307692307693,2145000.0,51.92307692307693,,,0,0,0.3447628956338592,0,low
2023-12-22,7.74,10810,3370.0,104.5,0.8,592.0,56.0,0.3411,450,260,,36.41,,4.460173514263435,7.3,213.0,100.0,24,,,9.52,7.34,9360,20.0,7300,,,,1080,23.0,21.5,5.2,2.7,2.2,51.92307692307693,2.967359050445104,97.03264094955487,1.5,1,2.7,2.967359050445104,Normal,0,22,4,12,-0.1584517749608372,0.9873667175937014,3443.333333333333,2.7,5266.666666666667,2.7,3250.0,2.7,51.92307692307693,7090.0,2.7,51.92307692307693,1516500.0,51.92307692307693,,,0,0,0.3447628956338592,0,low
2023-12-23,7.76,10810,3280.0,104.5,0.9,448.0,78.4,0.3861,520,390,,40.84,,4.459589699936593,7.76,270.0,140.0,8,,,6.16,7.51,7970,20.0,10750,,,,560,23.0,21.5,5.2,2.7,2.2,51.92307692307693,4.26829268292683,95.73170731707316,1.5,1,2.7,4.26829268292683,Normal,0,23,5,12,-0.1414440676879411,0.989946248902378,3300.0,2.7,4631.666666666667,2.7,3370.0,2.7,51.92307692307693,3710.0,2.7,51.92307692307693,1705600.0,51.92307692307693,,,0,0,0.3447628956338592,0,low
2023-12-24,7.734999999999999,10810,7090.0,104.5,0.98,798.0,103.6,,2000,1300,,,,4.426255229522356,7.195,297.0,150.0,8,,,6.16,6.855,15125,10.0,10750,,,,1400,23.0,21.5,5.2,2.7,2.2,51.92307692307693,2.115655853314527,97.88434414668548,1.5,1,2.7,2.115655853314527,Normal,0,24,6,12,-0.1243945048398,0.9922328391893008,4580.0,2.7,4631.666666666667,2.7,3280.0,2.7,51.92307692307693,3250.0,2.7,51.92307692307693,14180000.0,51.92307692307693,,,0,0,0.3447628956338592,0,low
2023-12-25,7.71,10810,4056.0,104.5,0.5,624.0,84.0,0.363,680,440,,36.11,,4.455972996317359,7.5,250.0,172.0,4,,,10.08,7.5,6140,5.0,4700,,,,800,23.0,21.5,5.2,2.7,2.2,51.92307692307693,4.240631163708087,95.75936883629193,1.5,1,2.7,4.240631163708087,Normal,0,25,0,12,-0.1073081316563625,0.994225811815616,4808.666666666667,2.7,4126.0,2.7,7090.0,2.7,51.92307692307693,3370.0,2.7,51.92307692307693,2758080.0,51.92307692307693,,,0,0,0.3447628956338592,0,low
2023-12-26,7.71,10810,3440.0,104.5,0.7,520.0,103.6,0.432,620,400,,37.21,,4.46164806617722,7.1,170.0,80.0,8,,,8.4,6.64,8540,10.0,5780,,,,1160,23.0,21.5,5.2,2.7,2.2,51.92307692307693,2.325581395348837,97.67441860465117,1.5,1,2.7,2.325581395348837,Normal,0,26,1,12,-0.0901900042703451,0.99592457702866,4862.0,2.7,4081.0,2.7,4056.0,2.7,51.92307692307693,3280.0,2.7,51.92307692307693,2132800.0,51.92307692307693,,,0,0,0.3447628956338592,0,low
2023-12-27,7.74,10810,3300.0,104.5,0.8,600.0,55.0,0.2687,700,460,,37.6,,4.460818408565691,6.84,165.0,150.0,8,,,6.16,6.78,14130,10.0,10750,,,,1680,23.0,21.5,5.2,2.7,2.2,51.92307692307693,4.545454545454546,95.45454545454544,1.5,1,2.7,4.545454545454546,Normal,0,27,2,12,-0.0730451882110465,0.9973286321364752,3598.666666666667,2.7,4089.333333333333,2.7,3440.0,2.7,51.92307692307693,7090.0,2.7,51.92307692307693,2310000.0,51.92307692307693,,,0,0,0.3447628956338592,0,low
2023-12-28,7.7,10810,7090.0,104.5,0.82,560.0,53.2,0.2681,700,420,,30.42,,4.428727916774407,7.195,297.0,150.0,8,,,6.16,6.855,15125,10.0,10750,,,,1400,23.0,21.5,5.2,2.7,2.2,51.92307692307693,2.115655853314527,97.88434414668548,1.5,1,2.7,2.115655853314527,Normal,0,28,3,12,-0.0558787569053731,0.9984375616565666,4610.0,2.7,4709.333333333333,2.7,3300.0,2.7,51.92307692307693,4056.0,2.7,51.92307692307693,4963000.0,51.92307692307693,,,0,0,0.3447628956338592,0,low
2023-12-29,7.82,10810,7090.0,104.5,0.67,798.0,103.6,,1000,500,,,,4.420250131910233,7.195,297.0,150.0,8,,,6.16,6.855,15125,425.0,10750,,,,1400,23.0,21.5,5.2,2.7,2.2,51.92307692307693,2.115655853314527,97.88434414668548,1.5,1,2.7,2.115655853314527,Normal,0,29,4,12,-0.0386957901765277,0.999251037438848,5826.666666666667,2.7,5344.333333333333,2.7,7090.0,2.7,51.92307692307693,3440.0,2.7,51.92307692307693,7090000.0,51.92307692307693,,,0,0,0.3447628956338592,0,low
2023-12-30,7.793333333333334,10810,7090.0,104.5,0.98,798.0,103.6,,2000,1300,,,,4.422134084102272,7.195,297.0,150.0,8,,,6.16,6.855,15125,425.0,10750,,,,1400,23.0,21.5,5.2,2.7,2.2,51.92307692307693,2.115655853314527,97.88434414668548,1.5,1,2.7,2.115655853314527,Normal,0,30,5,12,-0.0215013727408137,0.999768818762748,7090.0,2.7,5344.333333333333,2.7,7090.0,2.7,51.92307692307693,3300.0,2.7,51.92307692307693,14180000.0,51.92307692307693,,,0,0,0.3447628956338592,0,low
2024-01-01,7.74,10810,4200.0,104.5,0.6,320.0,84.0,0.1976,950,500,,36.9,,3.9,7.0,200.0,90.0,12,,,6.22,7.0,11930,10.0,9900,,,,960,23.0,21.5,5.2,2.7,2.2,51.92307692307693,2.142857142857143,97.85714285714286,1.5,1,2.7,2.142857142857143,Normal,0,1,0,1,0.0172015754182605,0.9998520419557736,6126.666666666667,2.7,5368.333333333333,2.7,7090.0,2.7,51.92307692307693,7090.0,2.7,51.92307692307693,3990000.0,51.92307692307693,,,0,0,0.3447628956338592,0,low
2024-01-02,7.96,10810,4370.0,104.5,0.6,480.0,103.6,0.1866,2000,1300,,40.3,,4.435418132932588,7.195,297.0,150.0,8,,,6.16,6.855,15125,425.0,10750,,,,1400,23.0,21.5,5.2,2.7,2.2,51.92307692307693,3.432494279176201,96.5675057208238,1.5,1,2.7,3.432494279176201,Normal,0,2,1,1,0.034398060613608,0.9994082116062598,5220.0,2.7,5523.333333333333,2.7,4200.0,2.7,51.92307692307693,7090.0,2.7,51.92307692307693,8740000.0,51.92307692307693,,,0,0,0.3447628956338592,0,low
2024-01-03,8.0,10810,3640.0,104.5,0.8,448.0,70.0,0.2113,900,500,,37.6,,4.439317530939496,7.0,196.0,60.0,8,,,6.16,7.01,9830,10.0,7560,,,,960,23.0,21.5,5.2,2.7,2.2,51.92307692307693,1.648351648351648,98.35164835164836,1.5,1,2.7,1.648351648351648,Normal,0,3,2,1,0.0515843668694083,0.9986686402879996,4070.0,2.7,5580.0,2.7,4370.0,2.7,51.92307692307693,7090.0,2.7,51.92307692307693,3276000.0,51.92307692307693,,,0,0,0.3447628956338592,0,low
2024-01-04,7.82,10810,7090.0,104.5,0.46,512.0,103.6,0.1902,2000,1300,,39.4,,3.7,7.48,207.0,150.0,8,,,6.16,6.9,9350,5.0,10750,,,,1400,23.0,21.5,5.2,2.7,2.2,51.92307692307693,2.115655853314527,97.88434414668548,1.5,1,2.7,2.115655853314527,Normal,0,4,3,1,0.0687554084811394,0.9976335468520452,5033.333333333333,2.7,5580.0,2.7,3640.0,2.7,51.92307692307693,4200.0,2.7,51.92307692307693,14180000.0,51.92307692307693,,,0,0,0.3447628956338592,0,low
